q,predicted,key,status,x,y
1,C,C,correct,237.0,95.0
2,A,A,correct,128.0,130.0
3,C,C,correct,237.0,166.0
4,A,A,correct,127.0,199.0
5,B,C,wrong,181.0,231.0
6,A,A,correct,128.0,302.0
7,B,B,correct,183.0,337.0
8,C,C,correct,237.0,373.0
9,D,D,correct,290.0,409.0
10,A,A,correct,128.0,442.0
11,D,D,correct,291.0,513.0
12,A,C,wrong,128.0,547.0
13,B,B,correct,182.0,581.0
14,A,A,correct,125.0,616.0
15,C,C,correct,235.0,651.0
16,B,D,wrong,181.0,719.0
17,B,B,correct,182.0,754.0
18,C,C,correct,236.0,788.0
19,B,B,correct,181.0,823.0
20,A,A,correct,128.0,855.0
21,D,D,correct,583.0,98.0
22,B,B,correct,475.0,133.0
23,C,C,correct,527.0,165.0
24,C,C,correct,526.0,197.0
25,A,B,wrong,421.0,236.0
26,C,B,wrong,527.0,304.0
27,D,D,correct,581.0,339.0
28,A,A,correct,418.0,374.0
29,C,C,correct,527.0,409.0
30,C,C,correct,526.0,445.0
31,B,B,correct,472.0,513.0
32,D,B,wrong,581.0,548.0
33,B,B,correct,471.0,583.0
34,B,B,correct,472.0,616.0
35,B,B,correct,471.0,650.0
36,A,C,wrong,417.0,722.0
37,B,D,wrong,469.0,755.0
38,B,B,correct,472.0,788.0
39,D,A,wrong,581.0,820.0
40,D,D,correct,581.0,855.0
41,A,A,correct,710.0,98.0
42,A,A,correct,710.0,133.0
43,A,A,correct,710.0,167.0
44,C,D,wrong,817.0,202.0
45,B,B,correct,764.0,236.0
46,C,C,correct,819.0,303.0
47,B,C,wrong,765.0,338.0
48,C,A,wrong,817.0,373.0
49,C,C,correct,818.0,409.0
50,C,B,wrong,818.0,443.0
51,C,C,correct,818.0,514.0
52,B,A,wrong,764.0,547.0
53,B,B,correct,764.0,581.0
54,D,D,correct,872.0,616.0
55,B,C,wrong,761.0,650.0
56,A,A,correct,709.0,722.0
57,A,A,correct,707.0,754.0
58,C,B,wrong,818.0,788.0
59,D,D,correct,872.0,824.0
60,A,A,correct,711.0,855.0
61,A,B,wrong,1000.0,97.0
62,B,A,wrong,1057.0,134.0
63,B,B,correct,1055.0,166.0
64,B,A,wrong,1055.0,201.0
65,A,A,correct,1001.0,235.0
66,A,B,wrong,1001.0,304.0
67,D,A,wrong,1166.0,341.0
68,D,D,correct,1166.0,374.0
69,B,B,correct,1055.0,410.0
70,C,C,correct,1111.0,445.0
71,A,D,wrong,999.0,513.0
72,A,A,correct,1001.0,547.0
73,A,A,correct,1003.0,581.0
74,A,A,correct,1000.0,616.0
75,B,B,correct,1054.0,651.0
76,C,C,correct,1108.0,722.0
77,C,C,correct,1108.0,759.0
78,D,D,correct,1161.0,790.0
79,D,D,correct,1163.0,823.0
80,B,D,wrong,1055.0,855.0
81,D,D,correct,1455.0,100.0
82,A,A,correct,1293.0,134.0
83,B,B,correct,1346.0,169.0
84,B,B,correct,1346.0,202.0
85,C,A,wrong,1400.0,235.0
86,A,D,wrong,1291.0,305.0
87,B,B,correct,1343.0,340.0
88,A,A,correct,1292.0,375.0
89,D,D,correct,1455.0,410.0
90,C,C,correct,1399.0,446.0
91,A,D,wrong,1291.0,515.0
92,B,B,correct,1345.0,548.0
93,C,C,correct,1399.0,586.0
94,B,B,correct,1345.0,617.0
95,A,A,correct,1292.0,655.0
96,B,B,correct,1345.0,723.0
97,C,C,correct,1397.0,755.0
98,A,A,correct,1292.0,789.0
99,D,B,wrong,1453.0,821.0
100,D,B,wrong,1449.0,854.0
