q,predicted,key,status,x,y
1,C,C,correct,233.0,95.0
2,A,A,correct,129.0,128.0
3,C,C,correct,236.0,164.0
4,A,A,correct,128.0,200.0
5,C,C,correct,235.0,232.0
6,B,A,wrong,181.0,303.0
7,B,B,correct,179.0,339.0
8,C,C,correct,233.0,373.0
9,C,D,wrong,233.0,407.0
10,A,A,correct,125.0,441.0
11,B,D,wrong,178.0,509.0
12,A,C,wrong,123.0,542.0
13,B,B,correct,179.0,579.0
14,A,A,correct,123.0,615.0
15,B,C,wrong,181.0,651.0
16,D,D,correct,289.0,718.0
17,B,B,correct,178.0,753.0
18,B,C,wrong,177.0,785.0
19,C,B,wrong,232.0,818.0
20,A,A,correct,124.0,853.0
21,D,D,correct,581.0,97.0
22,B,B,correct,471.0,129.0
23,B,C,wrong,472.0,165.0
24,C,C,correct,525.0,201.0
25,B,B,correct,473.0,237.0
26,C,B,wrong,526.0,303.0
27,C,D,wrong,520.0,340.0
28,A,A,correct,417.0,375.0
29,C,C,correct,525.0,410.0
30,C,C,correct,526.0,442.0
31,D,B,wrong,580.0,511.0
32,A,B,wrong,416.0,544.0
33,B,B,correct,469.0,580.0
34,A,B,wrong,417.0,617.0
35,A,B,wrong,417.0,650.0
36,A,C,wrong,416.0,718.0
37,B,D,wrong,469.0,751.0
38,A,B,wrong,416.0,785.0
39,A,A,correct,416.0,817.0
40,D,D,correct,578.0,856.0
41,A,A,correct,712.0,95.0
42,B,A,wrong,764.0,131.0
43,A,A,correct,707.0,165.0
44,C,D,wrong,819.0,200.0
45,B,B,correct,763.0,236.0
46,C,C,correct,818.0,304.0
47,D,C,wrong,871.0,340.0
48,D,A,wrong,871.0,375.0
49,C,C,correct,815.0,410.0
50,D,B,wrong,868.0,445.0
51,C,C,correct,818.0,514.0
52,A,A,correct,709.0,547.0
53,D,B,wrong,873.0,580.0
54,A,D,wrong,705.0,615.0
55,A,C,wrong,707.0,651.0
56,A,A,correct,707.0,719.0
57,A,A,correct,707.0,754.0
58,C,B,wrong,814.0,788.0
59,C,D,wrong,815.0,821.0
60,A,A,correct,706.0,855.0
61,B,B,correct,1054.0,98.0
62,A,A,correct,999.0,133.0
63,B,B,correct,1055.0,167.0
64,A,A,correct,998.0,199.0
65,D,A,wrong,1162.0,235.0
66,A,B,wrong,999.0,305.0
67,D,A,wrong,1163.0,341.0
68,D,D,correct,1162.0,375.0
69,C,B,wrong,1107.0,410.0
70,C,C,correct,1108.0,447.0
71,D,D,correct,1163.0,513.0
72,A,A,correct,998.0,547.0
73,A,A,correct,998.0,581.0
74,A,A,correct,998.0,617.0
75,B,B,correct,1052.0,652.0
76,C,C,correct,1107.0,722.0
77,C,C,correct,1106.0,757.0
78,A,D,wrong,998.0,787.0
79,D,D,correct,1161.0,821.0
80,D,D,correct,1160.0,856.0
81,D,D,correct,1454.0,103.0
82,D,A,wrong,1451.0,135.0
83,C,B,wrong,1401.0,169.0
84,B,B,correct,1346.0,203.0
85,C,A,wrong,1401.0,239.0
86,D,D,correct,1453.0,308.0
87,A,B,wrong,1292.0,340.0
88,A,A,correct,1291.0,379.0
89,B,D,wrong,1342.0,413.0
90,C,C,correct,1397.0,447.0
91,B,D,wrong,1343.0,513.0
92,A,B,wrong,1288.0,547.0
93,C,C,correct,1397.0,583.0
94,B,B,correct,1339.0,619.0
95,A,A,correct,1289.0,652.0
96,B,B,correct,1342.0,721.0
97,C,C,correct,1397.0,758.0
98,A,A,correct,1288.0,787.0
99,D,B,wrong,1451.0,824.0
100,D,B,wrong,1451.0,857.0
