q,predicted,key,status,x,y
1,C,C,correct,243.0,99.0
2,A,A,correct,133.0,134.0
3,C,C,correct,239.0,166.0
4,A,A,correct,131.0,202.0
5,B,C,wrong,188.0,237.0
6,B,A,wrong,188.0,308.0
7,D,B,wrong,295.0,343.0
8,B,C,wrong,189.0,376.0
9,D,D,correct,296.0,411.0
10,B,A,wrong,187.0,443.0
11,C,D,wrong,241.0,514.0
12,A,C,wrong,133.0,547.0
13,C,B,wrong,238.0,586.0
14,A,A,correct,131.0,620.0
15,D,C,wrong,295.0,655.0
16,D,D,correct,296.0,722.0
17,B,B,correct,184.0,759.0
18,C,C,correct,239.0,791.0
19,A,B,wrong,131.0,823.0
20,A,A,correct,131.0,857.0
21,D,D,correct,587.0,99.0
22,B,B,correct,479.0,134.0
23,C,C,correct,533.0,166.0
24,C,C,correct,531.0,201.0
25,B,B,correct,477.0,236.0
26,D,B,wrong,587.0,308.0
27,C,D,wrong,531.0,340.0
28,A,A,correct,424.0,374.0
29,A,C,wrong,423.0,410.0
30,C,C,correct,533.0,443.0
31,B,B,correct,479.0,513.0
32,B,B,correct,477.0,550.0
33,B,B,correct,477.0,585.0
34,C,B,wrong,529.0,619.0
35,B,B,correct,478.0,656.0
36,B,C,wrong,477.0,722.0
37,A,D,wrong,425.0,755.0
38,A,B,wrong,423.0,790.0
39,D,A,wrong,585.0,824.0
40,D,D,correct,585.0,857.0
41,A,A,correct,712.0,99.0
42,A,A,correct,713.0,134.0
43,D,A,wrong,877.0,166.0
44,D,D,correct,878.0,201.0
45,B,B,correct,769.0,238.0
46,C,C,correct,819.0,307.0
47,B,C,wrong,767.0,341.0
48,B,A,wrong,769.0,374.0
49,C,C,correct,823.0,410.0
50,D,B,wrong,877.0,443.0
51,C,C,correct,823.0,515.0
52,C,A,wrong,823.0,550.0
53,D,B,wrong,880.0,584.0
54,D,D,correct,877.0,619.0
55,B,C,wrong,770.0,655.0
56,D,A,wrong,875.0,721.0
57,B,A,wrong,767.0,759.0
58,B,B,correct,767.0,793.0
59,D,D,correct,875.0,823.0
60,B,A,wrong,767.0,859.0
61,B,B,correct,1058.0,101.0
62,B,A,wrong,1060.0,133.0
63,B,B,correct,1060.0,166.0
64,A,A,correct,1005.0,201.0
65,C,A,wrong,1114.0,238.0
66,D,B,wrong,1169.0,310.0
67,A,A,correct,1005.0,341.0
68,C,D,wrong,1115.0,376.0
69,B,B,correct,1059.0,410.0
70,C,C,correct,1114.0,445.0
71,D,D,correct,1168.0,514.0
72,A,A,correct,1005.0,550.0
73,A,A,correct,1005.0,585.0
74,A,A,correct,1005.0,620.0
75,D,B,wrong,1168.0,655.0
76,B,C,wrong,1060.0,722.0
77,D,C,wrong,1167.0,759.0
78,D,D,correct,1168.0,791.0
79,D,D,correct,1166.0,825.0
80,C,D,wrong,1115.0,857.0
81,D,D,correct,1460.0,100.0
82,A,A,correct,1298.0,133.0
83,C,B,wrong,1405.0,167.0
84,B,B,correct,1351.0,203.0
85,A,A,correct,1294.0,238.0
86,B,D,wrong,1352.0,309.0
87,B,B,correct,1349.0,343.0
88,D,A,wrong,1457.0,376.0
89,A,D,wrong,1298.0,410.0
90,A,C,wrong,1294.0,446.0
91,B,D,wrong,1346.0,514.0
92,B,B,correct,1348.0,550.0
93,C,C,correct,1402.0,586.0
94,B,B,correct,1349.0,621.0
95,A,A,correct,1297.0,655.0
96,A,B,wrong,1293.0,724.0
97,C,C,correct,1403.0,759.0
98,D,A,wrong,1459.0,791.0
99,D,B,wrong,1456.0,825.0
100,B,B,correct,1348.0,857.0
